Series,"Country","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
EN.POP.DNST,"Afghanistan","14.905739362191","15.2228869895537","15.5505483564623","15.8879851729314","16.2429096590387","16.6259657506969","17.0421269491162","17.4889333088258","17.9547529332476","18.4232791103759","18.8731749532825","19.2848175719143","19.6677679747572","20.0158349416414","20.2765278926569","20.3821569708666","20.2928192874429","19.9950280305119","19.5289112520295","18.9769154183133","18.4528306221855","18.048356462335","17.7695692797843","17.6190316453757","17.6774316086144","18.0400223631406","18.7622369267531","19.9026697913795","21.4153585761113","23.1214946542904","24.772108874797","26.1917424869038","27.2997028459394","28.1555080721747","28.8944015562295","29.7210366694238","30.7780473608431","32.1147918389854","33.6671307784211","35.3289388230248","36.9435698312042","38.4014918971908","39.6615660325338","40.7695248598474","41.8068667095549","42.8948488190424","44.1184434641424","45.5053135434856","47.0192047299574","48.6041233955212","50.1761786600496"
EN.POP.DNST,"Albania","66.2093065693431","68.0580656934307","69.8749270072993","71.7371532846715","73.8055474452555","75.9742700729927","77.9371897810219","79.8486496350365","81.8659124087591","83.8230656934307","85.7709489051095","87.7675547445255","89.7272262773723","91.7352554744526","93.6593430656934","95.5413138686131","97.5181386861314","99.491094890511","101.61598540146","103.794160583942","106.001058394161","108.20299270073","110.315145985401","112.540328467153","114.683795620438","117.808138686131","119.946788321168","119.225912408759","118.505072992701","117.784197080292","117.063357664234","116.342481751825","115.621642335766","114.900766423358","114.179927007299","113.459051094891","112.738211678832","111.685145985401","111.350729927007","110.934890510949","110.472226277372","109.908284671533","109.21704379562","108.394781021898","107.566204379562","106.843759124088","106.314635036496","106.02901459854","105.854051094891","105.660291970803","105.441751824818"
EN.POP.DNST,"Algeria","5.16259961204833","5.30156608194009","5.44990931000025","5.60690797484192","5.7707335813313","5.93869943822583","6.10899342497502","6.28116796963564","6.45624333470488","6.63566468212315","6.82153089757908","7.01550085231805","7.21751282675691","7.42742028936828","7.64664740903709","7.87691393686968","8.11915448369679","8.37356890340675","8.63893665975295","8.91293298176963","9.19237742154895","9.47454592020959","9.7581062584497","10.0421947819661","10.3250111263194","10.6047142005425","10.8795951699178","11.1491300477802","11.4122842963548","11.6663695449545","11.9082070251161","12.1357906404561","12.348709346948","12.5483213952824","12.7367941085089","12.9172844223131","13.0928060997422","13.2643164241269","13.4334755262959","13.6049753541528","13.7845004072653","13.9765201071486","14.1820328835221","14.401267980552","14.6366584933704","14.890693358637","15.1643911594045","15.4591004895581","15.7724382174377","16.0968711950087","16.4221590097996"
EN.POP.DNST,"Angola","4.88755995828989","4.97577524665116","5.06117750862276","5.14558033207668","5.23284751744606","5.32817197401139","5.43545439961498","5.55648431860111","5.69089115264298","5.83777973850967","5.99529798668485","6.16225154407636","6.33752867570386","6.52200850244646","6.71865484880083","6.93151600224593","7.16282987085907","7.41518167963423","7.68601588192829","7.96628058073314","8.24361995668565","8.50969920590359","8.75995588353253","8.99837009705623","9.23555626854897","9.48683484398813","9.76292692708751","10.0693398572231","10.4021376433785","10.7513708189621","11.1023510066576","11.4454110852651","11.7769182642175","12.1031370818962","12.4362861955563","12.793587871982","13.1875543434668","13.6225764017005","14.0953308735061","14.6012424801476","15.1325226598219","15.6834378759926","16.2528266623887","16.8426141012272","17.4536135397449","18.0873883051255","18.7447910483677","19.4261370016844","20.1300633672896","20.8537258362076","21.5933793214085"
EN.POP.DNST,"Argentina","8.02207374602165","8.14246041751167","8.2613478326007","8.37953988212037","8.49978550730992","8.62574387307295","8.75987342373451","8.90361677793247","9.05581158260526","9.21309611245702","9.37062875225181","9.52500100486354","9.67488170015603","9.82155998669926","9.9674208624287","10.1160650274602","10.2700298535822","10.4298857378804","10.5945456007074","10.7629062845993","10.9332456361517","11.104210926338","11.2753888821898","11.4468474690228","11.618238455945","11.7892640379436","11.9596077743552","12.1292210663246","12.2977578753896","12.464297015738","12.6277053667021","12.7872773313748","12.9425261903979","13.0939086999258","13.2428554202339","13.3913844827145","13.5409754119027","13.6922738782982","13.8449623450226","13.9984357015226","14.1516561978156","14.3039540466768","14.4550131728475","14.6053166416364","14.7559237619168","14.9083041922907","15.0634120050134","15.2216286828249","15.3823556924606","15.5442980388718","15.7056571990251"
EN.POP.DNST,"Armenia","75.3423955040393","77.6717948717949","79.9448893572181","82.1610115911486","84.3393045310853","86.5094836670179","88.6921320688444","90.892377941693","93.0974358974359","95.2855988760098","97.4270108886547","99.4997190024587","101.495574288725","103.420407446435","105.283140147524","107.098876009835","108.87780119424","110.575763962065","112.177239199157","113.754618897085","115.405514576747","117.173691605198","119.151949420443","121.248401826484","123.099789251844","124.217386722866","124.276958201616","123.120864067439","120.927643133123","118.127783631893","115.337548296452","113.008148928697","111.282578152441","110.048682824025","109.191570073762","108.500772743239","107.818335089568","107.153319283456","106.564699683878","105.999508254303","105.395574288725","104.715806111697","103.916403231472","103.022690551458","102.15033368458","101.460625219529","101.064664559185","101.003898840885","101.226624517035","101.633614330875","102.080084299262"
EN.POP.DNST,"Australia","1.45360113507673","1.48236856149851","1.51660310063392","1.53586816448199","1.56320372805019","1.59626674303269","1.62802806451193","1.68400088515158","1.71524152922953","1.74166590734546","1.78631399450685","1.80844278406206","1.82666649310753","1.84736341980917","1.86897153196308","1.88927795061375","1.91244809497156","1.94303789229788","1.9757103992294","2.00057274514143","2.02335238144826","2.05120862241777","2.08510472124234","2.11706129674707","2.1519857334392","2.18871952410086","2.22135298022728","2.24984705101337","2.2773127839319","2.29970191218776","2.32417375004881","2.35242049906929","2.38353097379691","2.41034585996381","2.43559871392682","2.46358512424664","2.49313356677037","2.52697759785481","2.55800997097223","2.58977129245148","2.61997058172683","2.65477786600367","2.69423219608711","2.71111516082423","2.76599455892116","2.82359449643987","2.86785858401781","2.90798641031983","2.96037319552738","3.0128868958515","3.0595183734038"
EN.POP.DNST,"Austria","87.4763986437394","88.0466093485105","88.6663356744975","89.331533058852","89.7965972390409","90.1072293533543","90.4224509566481","90.8268588035844","91.3562727052555","91.8638290142892","92.0203196899976","91.7764955194963","91.6144950351175","91.6496730443207","91.5755025429886","91.4195325744732","91.4196294502301","91.6530636958101","91.7188181157665","91.5707193024946","91.5649551949625","91.6079559215306","91.6661903608622","91.7242189392105","91.8541656575442","92.2689149915234","92.9746912085251","93.9076168563817","94.9468273189634","95.7330225236135","96.1021797045289","96.2494308549285","96.3794744490191","96.4887503027367","96.5946839428433","96.7828045531606","97.0158149673044","97.3879026398644","97.8682126422863","98.3461249697263","98.9581738919835","99.6346451925406","100.128856866069","100.456380634067","100.771343457095","101.035663251714","101.28742536726","101.641731568174","102.114870266735","102.741697059287","103.505386377131"
EN.POP.DNST,"Azerbaijan","53.5550308230289","55.1883629546847","56.7375055577586","58.2076979463331","59.606030017905","60.9482437482726","62.2471970871336","63.5030342357932","64.7135441075742","65.888989028684","67.0425153514306","68.1848300227117","69.3214607592199","70.455964526479","71.5950947522742","72.7452924282298","73.9120372039367","75.0966749582417","76.3012124926397","77.5331482749919","78.8010262326207","80.1092925724311","81.4573104053258","82.8376413473208","84.2380282874893","85.6422485790163","86.0280952209284","87.3739740677986","88.7078361392504","90.0657317615391","91.2914428542245","92.3489190910511","93.2862275736929","94.1904899239338","95.2317912675107","96.5207665800133","97.434779976999","98.1937920681807","98.9124645960929","99.6237235638581","100.475372556609","101.522501814662","102.672531674674","103.853368672016","106.059762547351","108.291290455327","109.542344173442","110.976336228798","112.460790244139","113.923480806688","115.348813858679"
EN.POP.DNST,"Bahamas, The","13.3564435564436","13.9914085914086","14.621978021978","15.2456543456543","15.8468531468531","16.4083916083916","16.9184815184815","17.3689310689311","17.7661338661339","18.1306693306693","18.4914085914086","18.8693306693307","19.2709290709291","19.6914085914086","20.1311688311688","20.5826173826174","21.0450549450549","21.5180819180819","22.0054945054945","22.4962037962038","22.9785214785215","23.4452547452547","23.8892107892108","24.314985014985","24.7331668331668","25.1597402597403","25.607992007992","26.0855144855145","26.5868131868132","27.0894105894106","27.5619380619381","27.987012987013","28.3506493506494","28.6683316683317","28.977022977023","29.3278721278721","29.7592407592408","30.2832167832168","30.8848151848152","31.5430569430569","32.2203796203796","32.892007992008","33.5494505494505","34.1986013986014","34.8327672327672","35.4501498501498","36.0471528471528","36.6201798201798","37.1667332667333","37.6863136863137","38.1787212787213"
